"Compound.Name","Column","z","QE.LinRange","QE.RF.ratio","QE.RSD","TQS.LinRange","TQS.RF.ratio","TQS.RSD","Compound.Type","Compound.Name_old","Compound.Name_figure","Emperical.Formula","RT..min.","m.z","ionization_form","C0","CHEBI","Fraction1","Fraction2","Conc..uM","HILICMix","Date.added","KEGGNAME","Compound.Name_SQL","ChEBI_Names","CID","MolecularFormula","InChIKey","CanonicalSMILES","IUPACName","Classyfire"
"Maltotetraose","HILIC",-1,NA,NA,NA,NA,NA,NA,"New2","Maltotetraose","Maltotetraose","C24H42O21",13.78,665.21404,"[M-H]","cpd:C02052","ChEBI:28460","HILICNeg",NA,NA,NA,NA,"Maltotetraose","Maltotetraose","ChEBI:143180",446495,"C24H42O21","LUEWUZLMQUOBSB-ZLBHSGTGSA-N","C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)O)CO)CO)CO)O)O)O)O","(2R,3R,4S,5S,6R)-2-[(2R,3S,4R,5R,6R)-6-[(2R,3S,4R,5R,6R)-4,5-dihydroxy-2-(hydroxymethyl)-6-[(2R,3S,4R,5R,6S)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-3-yl]oxy-4,5-dihydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol","kingdom: Organic_compounds; superclass: Organic_oxygen_compounds; class: Organooxygen_compounds; subclass: Carbohydrates_and_carbohydrate_conjugates; level 5: Oligosaccharides; level 6: Oligosaccharides; level 7: Oligosaccharides; level 8: Oligosaccharides"
"Maltotriose","HILIC",-1,NA,NA,NA,NA,NA,NA,"New2","Maltotriose","Maltotriose","C18H32O16",13.03,503.161215,"[M-H]","cpd:C01835","ChEBI:61993","HILICNeg",NA,NA,NA,NA,"Maltotriose; Amylotriose","Maltotriose","ChEBI:27931",192826,"C18H32O16","FYGDTMLNYKFZSV-PXXRMHSHSA-N","C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)O)O","(2R,3R,4S,5S,6R)-2-[(2R,3S,4R,5R,6R)-4,5-dihydroxy-2-(hydroxymethyl)-6-[(2R,3S,4R,5R,6S)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol","kingdom: Organic_compounds; superclass: Organic_oxygen_compounds; class: Organooxygen_compounds; subclass: Carbohydrates_and_carbohydrate_conjugates; level 5: Oligosaccharides; level 6: Oligosaccharides; level 7: Oligosaccharides; level 8: Oligosaccharides"
"Sodium 2-mercaptoethanesulfonate","HILIC",-1,"<10 - 1000","0.266","20.6","<10 - 1000","0.953","7.8","Sulfur","MESNA (Sodium 2-mercaptoethanesulfonate)","MESNA","C2H5O3S2",2.67,140.968013,"[M]",NA,"ChEBI:31824","HILICNeg",NA,4,"Mix2",160401,NA,"MESNA",NA,NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Organic_sulfonic_acids_and_derivatives; subclass: Organosulfonic_acids_and_derivatives; level 5: Organosulfonic_acids; level 6: Organosulfonic_acids; level 7: Organosulfonic_acids; level 8: Organosulfonic_acids"
"L-Methionine","HILIC",1,"1000 - >10000","0.85","12","<10 - 1000","1.021","18.5","Amino Acid","Methionine","Methionine","C5H11NO2S",7.96,150.058876,"[M+H]","cpd:C00073","ChEBI:16811","HILICPos",NA,4,"Mix1",160401,"L-Methionine; Methionine; L-2-Amino-4methylthiobutyric acid","Methionine","ChEBI:16643",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Methionine_and_derivatives; level 8: Methionine_and_derivatives"
"L-Methionine S-oxide","HILIC",1,NA,NA,NA,NA,NA,NA,"New","Methionine Sulfoxide","Methionine sulfoxide","C5H11NO3S",9.73,166.053791,"[M+H]","cpd:C02989","ChEBI:17016","HILICPos",NA,4,"Mix1",170331,"L-Methionine S-oxide","Methionine sulfoxide","ChEBI:17016",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids; level 8: L-alpha-amino_acids"
"D-Methylmalonyl-CoA","HILIC",-1,"100 - >10000","0.625","17.5","20 - >10000","0.759","8.5","Co-enzyme A","Methyl Malonyl CoA","Methylmalonyl CoA","C25H40N7O19P3S",13.18,866.123439,"[M-H]","cpd:C00683","ChEBI:15466","HILICNeg",NA,4,"Mix1",160401,"(S)-Methylmalonyl-CoA; (S)-Methylmalonyl-coenzyme A; (2S)-Methylmalonyl-CoA; D-Methylmalonyl-CoA","Methylmalonyl CoA","ChEBI:15466",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Lipids_and_lipid-like_molecules; class: Fatty_Acyls; subclass: Fatty_acyl_thioesters; level 5: Acyl_CoAs; level 6: Acyl_CoAs; level 7: Acyl_CoAs; level 8: Acyl_CoAs"
"Methylphosphonic acid","HILIC",-1,"1000 - >10000","dl","dl","100 - >10000","0.759","8.5","Organic Acid","Methylphosphonic Acid","Methylphosphonic Acid","CH5O3P",11,94.989808,"[M-H]","cpd:C20396","ChEBI:45129","HILICNeg",NA,4,"Mix1",160401,"Methylphosphonate","Methylphosphonic acid",NA,13818,"CH5O3P","YACKEPLHDIMKIO-UHFFFAOYSA-N","CP(=O)(O)O","methylphosphonic acid","kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Organic_phosphonic_acids_and_derivatives; subclass: Organic_phosphonic_acids; level 5: Organic_phosphonic_acids; level 6: Organic_phosphonic_acids; level 7: Organic_phosphonic_acids; level 8: Organic_phosphonic_acids"
"Muramic acid","HILIC",1,"1000 - >10000","0.545","23.8","20 - 1000","0.63","15","Peptidoglycan","Muramic Acid","Muramic acid","C9H17NO7",11,252.108329,"[M+H]","cpd:C06470","ChEBI:44312","HILICPos",NA,4,"Mix1",160401,"Muramic acid; 3-O-alpha-Carboxyethyl-D-glucosamine; 2-Amino-3-O-[(R)-1-carboxyethyl]-2-deoxy-D-glucopyranose","Muramic acid","ChEBI:7027",441038,"C9H17NO7","MSFSPUZXLOGKHJ-PGYHGBPZSA-N","CC(C(=O)O)OC1C(C(OC(C1O)CO)O)N","(2R)-2-[(3R,4R,5S,6R)-3-amino-2,5-dihydroxy-6-(hydroxymethyl)oxan-4-yl]oxypropanoic acid","kingdom: Organic_compounds; superclass: Organic_oxygen_compounds; class: Organooxygen_compounds; subclass: Carbohydrates_and_carbohydrate_conjugates; level 5: Sugar_acids_and_derivatives; level 6: Sugar_acids_and_derivatives; level 7: Sugar_acids_and_derivatives; level 8: Sugar_acids_and_derivatives"
"N6-Acetyl-L-lysine","HILIC",1,NA,NA,NA,NA,NA,NA,"New","N(e)-Acetyl-Lysine","N(e)-Acetyl-Lysine","C8H16N2O3",9.71,189.123918,"[M+H]","cpd:C02727","ChEBI:17752","HILICPos",NA,4,"Mix1",170331,"N6-Acetyl-L-lysine","N e Acetyl Lysine","ChEBI:17752",92832,"C8H16N2O3","DTERQYGMUDWYAZ-ZETCQYMHSA-N","CC(=O)NCCCCC(C(=O)O)N","(2S)-6-acetamido-2-aminohexanoic acid","kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids; level 8: L-alpha-amino_acids"
"O-Acetyl-L-serine","HILIC",1,NA,NA,NA,NA,NA,NA,"New","N-Acetyl-Serine","N-Acetylserine","C5H9NO4",6.27,148.060984,"[M+H]","cpd:C00979","ChEBI:17981","HILICPos",NA,4,"Mix1",170331,"O-Acetyl-L-serine; O3-Acetyl-L-serine","N Acetylserine","ChEBI:17981",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids; level 8: L-alpha-amino_acids"
"N-Acetyltaurine","HILIC",-1,"<10 - 1000","1.111","9.9","20 - 1000","1.079","2.1","Sulfur","N-acetyltaurine","N-acetyltaurine","C4H9NO4S",3.74,166.017406,"[M-H]",NA,"ChEBI:84415","HILICNeg",NA,4,"Mix2",160401,NA,"N acetyltaurine",NA,NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Organic_sulfonic_acids_and_derivatives; subclass: Organosulfonic_acids_and_derivatives; level 5: Organosulfonic_acids; level 6: Organosulfonic_acids; level 7: Organosulfonic_acids; level 8: Organosulfonic_acids"
"NAD","HILIC",-1,"100 - >10000","0.594","15.9","20 - >10000","1.022","19.3","Redox","NAD","NAD","C21H27N7O14P2",10.6,662.101304,"[M-H]","cpd:C00003","ChEBI:15846","HILICNeg",NA,4,"Mix2",160401,"NAD+; NAD; Nicotinamide adenine dinucleotide; DPN; Diphosphopyridine nucleotide; Nadide; beta-NAD+","NAD","ChEBI:15846",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: (5->5)-dinucleotides; subclass: (5->5)-dinucleotides; level 5: (5->5)-dinucleotides; level 6: (5->5)-dinucleotides; level 7: (5->5)-dinucleotides; level 8: (5->5)-dinucleotides"
"NADH","HILIC",-1,"100 - >10000","0.85","16.5","500 - >10000","1.106","17.6","Redox","NADH","NADH","C21H27N7O14P2",11.26,664.116954,"[M+H]","cpd:C00004","ChEBI:16908","HILICNeg",NA,4,"Mix2",160401,"NADH; DPNH; Reduced nicotinamide adenine dinucleotide","NADH","ChEBI:16908",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: (5->5)-dinucleotides; subclass: (5->5)-dinucleotides; level 5: (5->5)-dinucleotides; level 6: (5->5)-dinucleotides; level 7: (5->5)-dinucleotides; level 8: (5->5)-dinucleotides"
"NADP","HILIC",-1,"100 - >10000","0.741","23.3","100 - >10000","0.8","13.7","Redox","NADP","NADP","C21H29N7O17P3",12.74,742.067637,"[M-2H]","cpd:C00006","ChEBI:18009","HILICNeg",NA,4,"Mix2",160401,"NADP+; NADP; Nicotinamide adenine dinucleotide phosphate; beta-Nicotinamide adenine dinucleotide phosphate; TPN; Triphosphopyridine nucleotide; beta-NADP+","NADP","ChEBI:18009",129893609,"C21H29N7NaO17P3+","ZUXQIVQXILFYQI-QYZPTAICSA-O","C1=CC(=C[N+](=C1)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O)C(=O)N.[Na]","","kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: (5->5)-dinucleotides; subclass: (5->5)-dinucleotides; level 5: (5->5)-dinucleotides; level 6: (5->5)-dinucleotides; level 7: (5->5)-dinucleotides; level 8: (5->5)-dinucleotides"
"NADPH","HILIC",-1,"100 - >10000","0.182","64.4","500 - >10000","1.483","53.8","Redox","NADPH","NADPH","C21H29N7O17P3",13.345,744.083287,"[M]","cpd:C00005","ChEBI:16474","HILICNeg",NA,4,"Mix2",160401,"NADPH; TPNH; Reduced nicotinamide adenine dinucleotide phosphate","NADPH","ChEBI:16474",5884,"C21H30N7O17P3","ACFIXJIJDZMPPO-NNYOXOHSSA-N","C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C(N=CN=C54)N)OP(=O)(O)O)O)O)O","[[(2R,3R,4R,5R)-5-(6-aminopurin-9-yl)-3-hydroxy-4-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl] [(2R,3S,4R,5R)-5-(3-carbamoyl-4H-pyridin-1-yl)-3,4-dihydroxyoxolan-2-yl]methyl hydrogen phosphate","kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: (5->5)-dinucleotides; subclass: (5->5)-dinucleotides; level 5: (5->5)-dinucleotides; level 6: (5->5)-dinucleotides; level 7: (5->5)-dinucleotides; level 8: (5->5)-dinucleotides"
"N-Methyltaurine","HILIC",1,NA,NA,NA,NA,NA,NA,"Sulfur","N-methyltaurine","N-methyltaurine","C3H9NO3S",6.06,140.038141,"[M+H]",NA,NA,"HILICPos",NA,4,"Mix2",160401,NA,"N methyltaurine",NA,7882,"C3H9NO3S","SUZRRICLUFMAQD-UHFFFAOYSA-N","CNCCS(=O)(=O)O","2-(methylamino)ethanesulfonic acid","kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Organic_sulfonic_acids_and_derivatives; subclass: Organosulfonic_acids_and_derivatives; level 5: Organosulfonic_acids; level 6: Organosulfonic_acids; level 7: Organosulfonic_acids; level 8: Organosulfonic_acids"
"Ophthalmic acid","HILIC",1,NA,NA,NA,NA,NA,NA,"New2","Ophthalmic Acid","Ophthalmic Acid","C11H19N3O6",10.73,290.135212,"[M+H]","cpd:C21016","ChEBI:84058","HILICPos",NA,5,"Mix1",180130,"Ophthalmate; gamma-L-Glutamyl-L-2-aminobutyrylglycine","Ophthalmic acid",NA,7018721,"C11H19N3O6","JCMUOFQHZLPHQP-BQBZGAKWSA-N","CCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N","(2S)-2-amino-5-[[(2S)-1-(carboxymethylamino)-1-oxobutan-2-yl]amino]-5-oxopentanoic acid","kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Peptides; level 6: Oligopeptides; level 7: Oligopeptides; level 8: Oligopeptides"
"L-Ornithine","HILIC",1,NA,NA,NA,NA,NA,NA,"New","Ornithine","Ornithine","C5H12N2O2",16.79,133.097703,"[M+H]","cpd:C00077","ChEBI:15729","HILICPos",NA,5,"Mix1",170331,"L-Ornithine; (S)-2,5-Diaminovaleric acid; (S)-2,5-Diaminopentanoic acid; (S)-2,5-Diaminopentanoate","Ornithine","ChEBI:15729",6262,"C5H12N2O2","AHLPHDHHMVZTML-BYPYZUCNSA-N","C(CC(C(=O)O)N)CN","(2S)-2,5-diaminopentanoic acid","kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids; level 8: L-alpha-amino_acids"
"Orotic acid","HILIC",-1,"100 - 1000","0.78","13.9","<10 - 1000","0.554","3.7","Organic Acid","Orotic Acid","Orotic acid","C5H4N2O4",4.195,155.009283,"[M-H]","cpd:C00295","ChEBI:16742","HILICNeg",NA,4,"Mix1",160401,"Orotate; Orotic acid; Uracil-6-carboxylic acid","Orotic acid","ChEBI:16742",967,"C5H4N2O4","PXQPEWDEAKTCGB-UHFFFAOYSA-N","C1=C(NC(=O)NC1=O)C(=O)O","2,4-dioxo-1H-pyrimidine-6-carboxylic acid","kingdom: Organic_compounds; superclass: Organoheterocyclic_compounds; class: Diazines; subclass: Pyrimidines_and_pyrimidine_derivatives; level 5: Pyrimidinecarboxylic_acids_and_derivatives; level 6: Pyrimidinecarboxylic_acids; level 7: Pyrimidinecarboxylic_acids; level 8: Pyrimidinecarboxylic_acids"
"Oxalic acid","HILIC",-1,"500 - >10000","dl","dl","500 - >10000","0.717","19.8","Organic Acid","Oxalic Acid","Oxalic acid","C2H2O4",13.235,88.987485,"[M-H]","cpd:C00209","ChEBI:16995","HILICNeg",NA,4,"Mix1",160401,"Oxalate; Oxalic acid; Ethanedioic acid","Oxalic acid","ChEBI:16995",971,"C2H2O4","MUBZPKHOEPUJKR-UHFFFAOYSA-N","C(=O)(C(=O)O)O","oxalic acid","kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Dicarboxylic_acids_and_derivatives; level 5: Dicarboxylic_acids_and_derivatives; level 6: Dicarboxylic_acids_and_derivatives; level 7: Dicarboxylic_acids_and_derivatives; level 8: Dicarboxylic_acids_and_derivatives"
"Phosphoenolpyruvic acid","HILIC",-1,"1000 - >10000","0.668","30.4","500 - >10000","1.369","27.7","Organic Acid","PEP","PEP","C3H5O6P",13.865,166.974553,"[M-H]","cpd:C00074","ChEBI:18021","HILICNeg",NA,4,"Mix1",160401,"Phosphoenolpyruvate; Phosphoenolpyruvic acid; PEP","Phosphoenolpyruvic acid","ChEBI:18021",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Organic_phosphoric_acids_and_derivatives; subclass: Phosphate_esters; level 5: Phosphate_esters; level 6: Phosphate_esters; level 7: Phosphate_esters; level 8: Phosphate_esters"
"3-Phosphoglycerate","HILIC",-1,"10000 - >10000","0.757","27.6","100 - >10000","1.253","10.1","Sugar phosphate","Phosphoglyceric Acid","Phosphoglyceric Acid","C3H7O7P",14.755,184.985118,"[M-H]","cpd:C00597","ChEBI:17794","HILICNeg",NA,4,"Mix1",180130,"Glycerate 3-phosphate; 3-Phosphoglycerate","Phosphoglyceric Acid","ChEBI:17050",724,"C3H7O7P","OSJPPGNTCRNQQC-UHFFFAOYSA-N","C(C(C(=O)O)O)OP(=O)(O)O","2-hydroxy-3-phosphonooxypropanoic acid","kingdom: Organic_compounds; superclass: Organic_oxygen_compounds; class: Organooxygen_compounds; subclass: Carbohydrates_and_carbohydrate_conjugates; level 5: Sugar_acids_and_derivatives; level 6: Sugar_acids_and_derivatives; level 7: Sugar_acids_and_derivatives; level 8: Sugar_acids_and_derivatives"
"2-Heptyl-3-hydroxy-quinolone","HILIC",1,"<10 - 1000","0.821","26.6","<10 - 1000","0.789","37.4","Quorum sensing","PQS","PQS","C16H21NO2",2.16,260.165054,"[M+H]","cpd:C11848","ChEBI:29472","HILICPos",NA,4,"Mix1",160401,"2-Heptyl-3-hydroxy-quinolone; 2-Heptyl-3-hydroxy-4(1H)-quinolone; 2-Heptyl-3-hydroxy-4-quinolone","PQS","ChEBI:29472",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organoheterocyclic_compounds; class: Quinolines_and_derivatives; subclass: Quinolones_and_derivatives; level 5: Hydroxyquinolones; level 6: Hydroxyquinolones; level 7: Hydroxyquinolones; level 8: Hydroxyquinolones"
"L-Proline","HILIC",1,"100 - >10000","0.331","5.9","<10 - >10000","0.251","23.2","Amino Acid","Proline","Proline","C5H9NO2",9.49,116.071154,"[M+H]","cpd:C00148","ChEBI:17203","HILICPos",NA,4,"Mix1",160401,"L-Proline; 2-Pyrrolidinecarboxylic acid","Proline","ChEBI:17203",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Proline_and_derivatives; level 8: Proline_and_derivatives"
"1-Propanesulfonate","HILIC",-1,NA,NA,NA,NA,NA,NA,"Sulfur","Propanesulfonate","Propanesulfonate","C3H7O3S",2.81,123.011592,"[M]",NA,NA,"HILICNeg",NA,4,"Mix2",160401,NA,"Propanesulfonate",NA,NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Organic_sulfonic_acids_and_derivatives; subclass: Organosulfonic_acids_and_derivatives; level 5: Organosulfonic_acids; level 6: Organosulfonic_acids; level 7: Organosulfonic_acids; level 8: Organosulfonic_acids"
"Propionyl-CoA","HILIC",-1,"100 - >10000","0.527","20.5","20 - >10000","0.957","18","Co-enzyme A","Propionyl CoA","Propionyl-CoA","C24H40N7O17P3S",8.83,822.133609,"[M-H]","cpd:C00100","ChEBI:15539","HILICNeg",NA,4,"Mix1",160401,"Propanoyl-CoA; Propionyl-CoA; Propionyl coenzyme A","Propionyl CoA","ChEBI:15539",92753,"C24H40N7O17P3S","QAQREVBBADEHPA-IEXPHMLFSA-N","CCC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O","S-[2-[3-[[(2R)-4-[[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] propanethioate",NA
"O-Propionylcarnitine","HILIC",1,NA,NA,NA,NA,NA,NA,"New2","Propionyl-L-carnitine","O-Propionylcarnitine","C10H19NO4",5.63,218.139234,"[M+H]","cpd:C03017","ChEBI:28867","HILICPos",NA,4,"Mix1",180130,"O-Propanoylcarnitine; O-Propionylcarnitine","O Propionylcarnitine","ChEBI:28867",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Lipids_and_lipid-like_molecules; class: Fatty_Acyls; subclass: Fatty_acid_esters; level 5: Acyl_carnitines; level 6: Acyl_carnitines; level 7: Acyl_carnitines; level 8: Acyl_carnitines"
"2,5-Dihydroxybenzoic acid","HILIC",-1,"500 - >10000","0.745","7.2","20 - >10000","0.969","2.8","Lignin","Resorcylic Acid","Resorcylic Acid","C7H6O4",4.08,153.018785,"[M-H]","cpd:C00628","ChEBI:58044","HILICNeg",NA,4.8,"Mix2",160401,"2,5-Dihydroxybenzoate; 2,5-Dihydroxybenzoic acid; Gentisic acid; Hydroquinonecarboxylic acid; Gentisate","Resorcylic Acid","ChEBI:17189",3469,"C7H6O4","WXTMDXOMEHJXQO-UHFFFAOYSA-N","C1=CC(=C(C=C1O)C(=O)O)O","2,5-dihydroxybenzoic acid",NA
"Riboflavin-5-phosphate","HILIC",-1,"100 - >10000","0.552","17.9","20 - >10000","0.902","12","Redox","Riboflavin Monophosphate","RMP","C17H21N4O9P",8.6,455.096794,"[M-H]","cpd:C00061","ChEBI:17621","HILICNeg",NA,4,"Mix2",160401,"FMN; Riboflavin-5-phosphate; Flavin mononucleotide","RMP","ChEBI:17621",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: Flavin_nucleotides; subclass: Flavin_nucleotides; level 5: Flavin_nucleotides; level 6: Flavin_nucleotides; level 7: Flavin_nucleotides; level 8: Flavin_nucleotides"
"Riboflavin-5-phosphate","HILIC",1,NA,NA,NA,NA,NA,NA,"Redox","Riboflavin Monophosphate","RMP","C17H21N4O9P",8.6,457.112444,"[M+H]","cpd:C00061","ChEBI:17621","HILICPos",NA,4,"Mix2",160401,"FMN; Riboflavin-5-phosphate; Flavin mononucleotide","RMP","ChEBI:17621",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: Flavin_nucleotides; subclass: Flavin_nucleotides; level 5: Flavin_nucleotides; level 6: Flavin_nucleotides; level 7: Flavin_nucleotides; level 8: Flavin_nucleotides"
"D-Ribose 5-phosphate","HILIC",-1,"1000 - >10000","0.561","24.2","100 - >10000","1.052","16.1","Sugar phosphate","Ribose 5 phosphate","R5P","C5H11O8P",13.29,229.011333,"[M-H]","cpd:C00117","ChEBI:17797","HILICNeg",NA,4,"Mix2",160401,"D-Ribose 5-phosphate; Ribose 5-phosphate","R5P","ChEBI:17797",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_oxygen_compounds; class: Organooxygen_compounds; subclass: Carbohydrates_and_carbohydrate_conjugates; level 5: Monosaccharides; level 6: Pentoses; level 7: Pentose_phosphates; level 8: Pentose_phosphates"
"Salicylic acid","HILIC",-1,"<10 - >10000","0.945","12.3","<10 - >10000","1.047","4.1","Antioxidant","Salicylic Acid","Salicylic acid","C7H6O3",2.2,137.02387,"[M-H]","cpd:C00805","ChEBI:30762","HILICNeg",NA,4,"Mix1",160401,"Salicylate; o-Hydroxybenzoic acid; Salicylic acid","Salicylic acid","ChEBI:16914",338,"C7H6O3","YGSDEFSMJLZEOE-UHFFFAOYSA-N","C1=CC=C(C(=C1)C(=O)O)O","2-hydroxybenzoic acid","kingdom: Organic_compounds; superclass: Benzenoids; class: Benzene_and_substituted_derivatives; subclass: Benzoic_acids_and_derivatives; level 5: Hydroxybenzoic_acid_derivatives; level 6: Salicylic_acid_and_derivatives; level 7: Salicylic_acids; level 8: Salicylic_acids"
"Sarcosine","HILIC",1,"1000 - >10000","0.628","28","20 - 1000","0.397","5.8","Glycine metabolite","Sarcosine","Sarcosine","C3H7NO2",10.6,90.055504,"[M+H]","cpd:C00213","ChEBI:15611","HILICPos",NA,4,"Mix2",160401,"Sarcosine; N-Methylglycine","Sarcosine","ChEBI:15611",1088,"C3H7NO2","FSYKKLYZXJSNPZ-UHFFFAOYSA-N","CNCC(=O)O","2-(methylamino)acetic acid","kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids; level 8: Alpha_amino_acids"
"L-Serine","HILIC",1,"10000 - >10000","0.748","19.1","500 - 1000","0.899","16.5","Amino Acid","Serine","Serine","C3H7NO3",11.86,106.050419,"[M+H]","cpd:C00065","ChEBI:17115","HILICPos",NA,4,"Mix1",160401,"L-Serine; L-2-Amino-3-hydroxypropionic acid; L-3-Hydroxy-alanine; Serine","Serine","ChEBI:17115",NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Serine_and_derivatives; level 8: Serine_and_derivatives"
"S-Farnesyl-L-cysteine methyl ester","HILIC",1,NA,NA,NA,NA,NA,NA,"New2","S-Farnesyl-L-cysteine Methyl Ester","S-Fcme","C19H33NO2S",1.58,340.231026,"[M+H]",NA,"ChEBI:87167","HILICPos",NA,NA,NA,180130,NA,"S Fcme",NA,NA,NA,NA,NA,NA,"kingdom: Organic_compounds; superclass: Lipids_and_lipid-like_molecules; class: Prenol_lipids; subclass: Sesquiterpenoids; level 5: Sesquiterpenoids; level 6: Sesquiterpenoids; level 7: Sesquiterpenoids; level 8: Sesquiterpenoids"
"Shikimic acid","HILIC",-1,"<10 - 1000","dl","dl","100 - 1000","0.938","13.8","Amino Acid synthesis","Shikimic Acid","Shikimic acid","C7H10O5",10.97,173.045,"[M-H]","cpd:C00493","ChEBI:16119","HILICNeg",NA,5,"Mix1",160401,"Shikimate; Shikimic acid; 3,4,5-Trihydroxy-1-cyclohexenecarboxylic acid","Shikimic acid","ChEBI:16119",8742,"C7H10O5","JXOHGGNKMLTUBP-HSUXUTPPSA-N","C1C(C(C(C=C1C(=O)O)O)O)O","(3R,4S,5R)-3,4,5-trihydroxycyclohexene-1-carboxylic acid","kingdom: Organic_compounds; superclass: Organic_oxygen_compounds; class: Organooxygen_compounds; subclass: Alcohols_and_polyols; level 5: Cyclic_alcohols_and_derivatives; level 6: Cyclitols_and_derivatives; level 7: Shikimic_acids_and_derivatves; level 8: Shikimic_acids_and_derivatves"
