"Compound_Name","mz","RT_minute","z","Column","HILIC_Mix","Concentration_uM","Ionization_Form","Liquid_Fraction","Compound_Type","Empirical_Formula","PubChem_Formula","PubChem_Code","KEGG_Code","KEGG_Names","ChEBI_Code","IUPAC_Code","InChI_Key_Code","Canon_SMILES_Code","Classyfire","Compound_Name_Original","Compound_Name_Figure","Compound_Name_SQL","Date_Added","Priority"
"Acetovanillone",167.07082,5.38,1,"RP",NA,0.25,"[M+H]","Aq","Lignin","C9H10O3","C9H10O3",2214,"cpd:C11380","Apocynin; Acetovanillone","ChEBI:2781","1-(4-hydroxy-3-methoxyphenyl)ethanone","DFYRUELUNQRZTB-UHFFFAOYSA-N","CC(=O)C1=CC(=C(C=C1)O)OC","kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbonyl compounds; level 5: Ketones; level 6: Aryl ketones; level 7: Phenylketones; level 8: Alkyl-phenylketones","Acetovanillone","Acetovanillone","Acetovanillone",160401,TRUE
"Caffeic acid",NA,4.83,-1,"RP",NA,0.75,NA,"Aq","Lignin","C9H8O4","C9H8O4",689043,"cpd:C01197","Caffeate; Caffeic acid; 3,4-Dihydroxy-trans-cinnamate; trans-Caffeate; (2E)-3-(3,4-Dihydroxyphenyl)prop-2-enoate","ChEBI:16433","(E)-3-(3,4-dihydroxyphenyl)prop-2-enoic acid","QAIPRVGONGVQAS-DUXPYHPUSA-N","C1=CC(=C(C=C1C=CC(=O)O)O)O","kingdom: Organic compounds; superclass: Phenylpropanoids and polyketides; class: Cinnamic acids and derivatives; subclass: Hydroxycinnamic acids and derivatives; level 5: Hydroxycinnamic acids","Caffeic Acid","Caffeic acid","Caffeic acid",160401,TRUE
"Ethyl aminobenzoate",166.086804,3.365,1,"RP",NA,0.25,"[M+H]","Aq","Lignin","C9H11NO2",NA,NA,"cpd:C07527","Benzocaine; Ethyl aminobenzoate","ChEBI:116735","ethyl 4-aminobenzoate","BLFLLBZGZJTVJG-UHFFFAOYSA-N","CCOC(=O)C1=CC=C(C=C1)N","kingdom: Organic compounds; superclass: Benzenoids; class: Benzene and substituted derivatives; subclass: Benzoic acids and derivatives; level 5: Benzoic acid esters; kingdom: Organic compounds; superclass: Benzenoids; class: Benzene and substituted derivatives; subclass: Benzoic acids and derivatives; level 5: Benzoic acid esters","Ethyl 3 aminobenzoate","Ethyl aminobenzoate","Ethyl aminobenzoate",160401,TRUE
"Ferulic acid",195.065735,5.97,1,"RP",NA,0.25,"[M+H]","Aq","Lignin","C10H10O4","C10H10O4",445858,"cpd:C01494","Ferulate; Ferulic acid; 4-Hydroxy-3-methoxycinnamic acid; 3-Methoxy-4-hydroxy-trans-cinnamate; 4-Hydroxy-3-methoxycinnamate","ChEBI:17620","(E)-3-(4-hydroxy-3-methoxyphenyl)prop-2-enoic acid","KSEBMYQBYZTDHS-HWKANZROSA-N","COC1=C(C=CC(=C1)C=CC(=O)O)O","kingdom: Organic compounds; superclass: Phenylpropanoids and polyketides; class: Cinnamic acids and derivatives; subclass: Hydroxycinnamic acids and derivatives; level 5: Hydroxycinnamic acids","Ferulic Acid","Ferulic acid","Ferulic acid",160401,TRUE
"Syringaldehyde",183.065735,5.48,1,"RP",NA,0.25,"[M+H]","Aq","Lignin","C9H10O4","C9H10O4",8655,NA,NA,NA,"4-hydroxy-3,5-dimethoxybenzaldehyde","KCDXJAYRVLXPFO-UHFFFAOYSA-N","COC1=CC(=CC(=C1O)OC)C=O","kingdom: Organic compounds; superclass: Benzenoids; class: Phenols; subclass: Methoxyphenols","Syringaldehyde","Syringaldehyde","Syringaldehyde",160401,TRUE
"Syringic acid",199.06065,4.88,1,"RP",NA,0.25,"[M+H]","Aq","Lignin","C9H10O5","C9H10O5",10742,"cpd:C10833","Syringic acid; Syringate; 4-Hydroxy-3,5-dimethoxybenzoate; Gallic acid 3,5-dimethyl ether","ChEBI:68329","4-hydroxy-3,5-dimethoxybenzoic acid","JMSVCTWVEWCHDZ-UHFFFAOYSA-N","COC1=CC(=CC(=C1O)OC)C(=O)O","kingdom: Organic compounds; superclass: Benzenoids; class: Benzene and substituted derivatives; subclass: Benzoic acids and derivatives; level 5: Hydroxybenzoic acid derivatives; level 6: Gallic acid and derivatives","Syringic Acid","Syringic acid","Syringic acid",160401,TRUE
"Vanillin",153.05517,4.69,1,"RP",NA,0.25,"[M+H]","Aq","Lignin","C8H8O3","C8H8O3",1183,"cpd:C00755","4-Hydroxy-3-methoxy-benzaldehyde; Vanillin; Vanillaldehyde; 4-Hydroxy-3-methoxybenzaldehyde","ChEBI:18346","4-hydroxy-3-methoxybenzaldehyde","MWOOGOJBHIARFG-UHFFFAOYSA-N","COC1=C(C=CC(=C1)C=O)O","kingdom: Organic compounds; superclass: Benzenoids; class: Phenols; subclass: Methoxyphenols","Vanillin","Vanillin","Vanillin",160401,TRUE
"L-Cysteinylglycine",179.04904,0.72,1,"RP",NA,0.25,"[M+H]","Aq","New","C5H10N2O3S",NA,NA,"cpd:C01419","Cys-Gly; L-Cysteinylglycine","ChEBI:4047","2-[[(2R)-2-amino-3-sulfanylpropanoyl]amino]acetic acid","ZUKPVRWZDMRIEO-VKHMYHEASA-N","C(C(C(=O)NCC(=O)O)N)S","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Peptides; level 6: Dipeptides; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Peptides; level 6: Dipeptides","Cys-Gly","Cys-Gly","Cys Gly",170331,TRUE
"O-Acetylcarnitine",204.123584,0.82,1,"RP",NA,0.25,"[M+H]","Aq","Betaine","C9H17NO4","C9H18NO4+",439756,"cpd:C02571","O-Acetylcarnitine; O-Acetyl-L-carnitine","ChEBI:15960","[(2R)-2-acetyloxy-3-carboxypropyl]-trimethylazanium","RDHQFKQIGNGIED-MRVPVSSYSA-O","CC(=O)OC(CC(=O)O)C[N+](C)(C)C","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acid esters; level 5: Acyl carnitines; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acid esters; level 5: Acyl carnitines; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acid esters; level 5: Acyl carnitines","Acetyl-L-carnitine","Acetyl-L-carnitine","Acetyl L carnitine",180130,FALSE
"Glycerophosphocholine",258.110652,0.66,1,"RP",NA,NA,"[M]","Aq","New2","C8H21NO6P",NA,NA,"cpd:C00670","sn-Glycero-3-phosphocholine; Glycerophosphocholine","ChEBI:16870","[(2R)-2,3-dihydroxypropyl] 2-(trimethylazaniumyl)ethyl phosphate","SUHOQUVVVLNYQR-MRVPVSSYSA-N","C[N+](C)(C)CCOP(=O)([O-])OCC(CO)O","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Glycerophospholipids; subclass: Glycerophosphocholines; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Glycerophospholipids; subclass: Glycerophosphocholines","Glycerophosphocholine","GPP","Glycerophosphocholine",180130,FALSE
"O-Propionylcarnitine",218.139234,0.99,1,"RP",NA,0.25,"[M+H]","Aq","New2","C10H19NO4",NA,NA,"cpd:C03017","O-Propanoylcarnitine; O-Propionylcarnitine","ChEBI:28867","3-propanoyloxy-4-(trimethylazaniumyl)butanoate","UFAHZIUFPNSHSL-UHFFFAOYSA-N","CCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acid esters; level 5: Acyl carnitines; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acid esters; level 5: Acyl carnitines","Propionyl-L-carnitine","O-Propionylcarnitine","O Propionylcarnitine",180130,FALSE
"Agmatine",131.129671,0.62,1,"RP",NA,0.5,"[M+H]","Aq","New2","C5H14N4","C5H14N4",199,"cpd:C00179","Agmatine; (4-Aminobutyl) guanidine","ChEBI:17431","2-(4-aminobutyl)guanidine","QYPPJABKJHAVHS-UHFFFAOYSA-N","C(CCN=C(N)N)CN","kingdom: Organic compounds; superclass: Organic nitrogen compounds; class: Organonitrogen compounds; subclass: Guanidines","Agmatine","Agmatine","Agmatine",180130,TRUE
"beta-Apo-8'-carotenal",417.31574,14.56,1,"RP",NA,NA,"[M+H]","Org","New2","C30H40O","C30H40O",101701200,NA,NA,NA,"(2E,4E,6E,8E,10E,12E,14Z,16E)-2,6,11,15-tetramethyl-17-(2,6,6-trimethylcyclohexen-1-yl)heptadeca-2,4,6,8,10,12,14,16-octaenal","DFMMVLFMMAQXHZ-IPIGPKAOSA-N","CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC=CC=C(C)C=CC=C(C)C=O)C)C","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Triterpenoids","B-apo-8'-carotenal","Apocarotenal","Apocarotenal",NA,TRUE
"beta-Cyclocitral",153.12794,8.39,1,"RP",NA,NA,"[M+H]","Org","New2","C10H16O","C10H16O",9895,"cpd:C20425","beta-Cyclocitral; 2,6,6-Trimethyl-1-cyclohexene-1-carbaldehyde",NA,"2,6,6-trimethylcyclohexene-1-carbaldehyde","MOQGCGNUWBPGTQ-UHFFFAOYSA-N","CC1=C(C(CCC1)(C)C)C=O","kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organic oxides","B-cyclocitral","b-Cyclocitral","beta Cyclocitral",NA,TRUE
"beta-Ionone",193.15924,9.71,1,"RP",NA,NA,"[M+H]","Org","New2","C13H20O","C13H20O",638014,"cpd:C12287","beta-Ionone; trans-beta-Ionone","ChEBI:32325","(E)-4-(2,6,6-trimethylcyclohexen-1-yl)but-3-en-2-one","PSQYTAPXSHCGMF-BQYQJAHWSA-N","CC1=C(C(CCC1)(C)C)C=CC(=O)C","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Sesquiterpenoids","B-ionine","b-Ionine","beta Ionine",NA,TRUE
"beta-Ionylidene acetaldehyde",219.17489,10.85,1,"RP",NA,NA,"[M+H]","Org","New2","C15H22O",NA,NA,NA,NA,NA,"(2E,4E)-3-methyl-5-(2,6,6-trimethylcyclohexen-1-yl)penta-2,4-dienal","OPSSCPNCFKJCFR-ANKZSMJWSA-N","CC1=C(C(CCC1)(C)C)C=CC(=CC=O)C","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Sesquiterpenoids","B-ionylidene-acetaldehyde","b-Ionylidene acetaldehyde","beta Ionylidene acetaldehyde",NA,TRUE
"Butyrylcarnitine",232.154884,1.34,1,"RP",NA,0.25,"[M+H]","Aq","Betaine","C11H21NO4","C11H21NO4",213144,"cpd:C02862","O-Butanoylcarnitine","ChEBI:7676","(3R)-3-butanoyloxy-4-(trimethylazaniumyl)butanoate","QWYFHHGCZUCMBN-SECBINFHSA-N","CCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acid esters; level 5: Acyl carnitines; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acid esters; level 5: Acyl carnitines","Butyryl-L-carnitine","Butyryl-L-carnitine","Butyrylcarnitine",180130,FALSE
"Decarboxylated S-Adenosylmethionine",355.155236,0.68,1,"RP",NA,0.5,"[M]","Aq","New2","C14H23N6O3S",NA,NA,NA,NA,NA,"3-aminopropyl-[[(2S,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl]-methylsulfanium","ZUNBITIXDCPNSD-LSRJEVITSA-N","C[S+](CCCN)CC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)O","kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: 5'-deoxyribonucleosides; subclass: 5'-deoxy-5'-thionucleosides","Decarboxylated S-Adenosylmethionine","D-SAM","Decarboxylated S Adenosylmethionine",180130,TRUE
"Glucosamine",180.087199,0.65,1,"RP",NA,NA,"[M+H]","Aq","New2","C6H13NO5",NA,NA,NA,NA,NA,"(3R,4R,5S,6R)-3-amino-6-(hydroxymethyl)oxane-2,4,5-triol","MSWZFWKMSRAUBD-IVMDWMLBSA-N","C(C1C(C(C(C(O1)O)N)O)O)O","kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbohydrates and carbohydrate conjugates; level 5: Monosaccharides; level 6: Hexoses; kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Carbohydrates and carbohydrate conjugates; level 5: Monosaccharides; level 6: Hexoses","Glucosamine","Glucosamine","Glucosamine",180130,FALSE
"Homoserine lactone",102.055504,0.68,1,"RP",NA,0.25,"[M+H]","Aq","New2","C4H7NO2","C4H7NO2",73509,"cpd:C02926","Homoserine lactone; 2-Aminobutan-4-olide","ChEBI:17289","3-aminooxolan-2-one","QJPWUUJVYOJNMH-UHFFFAOYSA-N","C1COC(=O)C1N","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Amino acids and derivatives; level 6: Alpha amino acids and derivatives; level 7: Alpha amino acid esters","Homoserine lactone","AHL","Homoserine lactone",180130,TRUE
"Indoleacrylic acid",188.071154,6.76,1,"RP",NA,0.5,"[M+H]","Aq","New2","C11H9NO2",NA,NA,NA,NA,NA,"3-(1H-indol-3-yl)prop-2-enoic acid","PLVPPLCLBIEYEA-UHFFFAOYSA-N","C1=CC=C2C(=C1)C(=CN2)C=CC(=O)O","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Indoles and derivatives; subclass: Indoles","Indoleacrylic acid","IAA","Indoleacrylic acid",180130,TRUE
"Isobutyryl-carnitine",232.154884,1.3,1,"RP",NA,4,"[M+H]","Aq","New2","C11H21NO4",NA,NA,NA,NA,NA,"(3R)-3-(2-methylpropanoyloxy)-4-(trimethylazaniumyl)butanoate","LRCNOZRCYBNMEP-SECBINFHSA-N","CC(C)C(=O)OC(CC(=O)[O-])C[N+](C)(C)C","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Fatty Acyls; subclass: Fatty acid esters; level 5: Acyl carnitines","Isobutyryl-L-carnitine","Isobutyryl-L-carnitine","Isobutyryl L carnitine",180130,TRUE
"Ophthalmic acid",290.135212,0.77,1,"RP",NA,NA,"[M+H]","Aq","New2","C11H19N3O6","C11H19N3O6",7018721,"cpd:C21016","Ophthalmate; gamma-L-Glutamyl-L-2-aminobutyrylglycine",NA,"(2S)-2-amino-5-[[(2S)-1-(carboxymethylamino)-1-oxobutan-2-yl]amino]-5-oxopentanoic acid","JCMUOFQHZLPHQP-BQBZGAKWSA-N","CCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N","kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Peptides; level 6: Oligopeptides; kingdom: Organic compounds; superclass: Organic acids and derivatives; class: Carboxylic acids and derivatives; subclass: Amino acids, peptides, and analogues; level 5: Peptides; level 6: Oligopeptides","Ophthalmic Acid","Ophthalmate","Ophthalmic acid",180130,FALSE
"S-Farnesyl-L-cysteine methyl ester",340.231026,10.43,1,"RP",NA,0.5,"[M+H]","Aq","New2","C19H33NO2S",NA,NA,NA,NA,NA,"methyl (2R)-2-amino-3-[(2E,6E)-3,7,11-trimethyldodeca-2,6,10-trienyl]sulfanylpropanoate","SIEHZFPZQUNSAS-GCVUPTOQSA-N","CC(=CCCC(=CCCC(=CCSCC(C(=O)OC)N)C)C)C","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Sesquiterpenoids; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Prenol lipids; subclass: Sesquiterpenoids","S-Farnesyl-L-cysteine Methyl Ester","S-Fcme","S Fcme",180130,TRUE
"Deoxyadenosine",252.109665,1.14,1,"RP",NA,NA,"[M+H]","Aq","New3","C10H13N5O3",NA,NA,"cpd:C00559","Deoxyadenosine; 2'-Deoxyadenosine","ChEBI:17256","(2R,3S,5R)-5-(6-aminopurin-9-yl)-2-(hydroxymethyl)oxolan-3-ol","OLXZPDWKRNYJJZ-RRKCRQDMSA-N","C1C(C(OC1N2C=NC3=C(N=CN=C32)N)CO)O","kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Purine nucleosides; subclass: Purine 2'-deoxyribonucleosides; kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Purine nucleosides; subclass: Purine 2'-deoxyribonucleosides","Deoxyadenosine","Deoxyadenosine","Deoxyadenosine",180701,FALSE
"Arsenobetaine",179.005326,0.72,1,"RP",NA,NA,"[M+H]","Aq","Arsenic","C5H11AsO2","C5H11AsO2",47364,"cpd:C19331","Arsenobetaine","ChEBI:82392","2-trimethylarsoniumylacetate","SPTHHTGLGVZZRH-UHFFFAOYSA-N","C[As+](C)(C)CC(=O)[O-]","kingdom: Organic compounds; superclass: Organometallic compounds; class: Organometalloid compounds; subclass: Organoarsenic compounds; level 5: Tetraorganoarsonium salts; kingdom: Organic compounds; superclass: Organometallic compounds; class: Organometalloid compounds; subclass: Organoarsenic compounds; level 5: Tetraorganoarsonium salts","Arsenobetaine","Arsenobetaine","Arsenobetaine",180701,FALSE
"Dexpanthenol",206.139234,1.11,1,"RP",NA,0.25,"[M+H]","Aq","New3","C9H19NO4","C9H19NO4",131204,"cpd:C05944","Pantothenol; (R)-2,4-Dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide; Dexpanthenol; 2,4-Dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide; (+)-Panthenol; Bepanthen; Bepanthene; Bepantol; D-(+)-2,4-Dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutyramide; Cozyme; D(+)-Panthenol; D(+)-Pantothenyl alcohol; D-P-A Injection; D-Panthenol; d-Pantothenol; d-Pantothenyl alcohol; Ilopan; Motilyn; Panadon; Panthenol; Panthoderm; Pantol; Pantothenyl alcohol; N-Pantoyl-propanolamine; Provitamin B; Synapan; Thenalton; Zentinic","ChEBI:27373","(2R)-2,4-dihydroxy-N-(3-hydroxypropyl)-3,3-dimethylbutanamide","SNPLKNRPJHDVJA-ZETCQYMHSA-N","CC(C)(CO)C(C(=O)NCCCO)O","kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Alcohols and polyols; level 5: Secondary alcohols; kingdom: Organic compounds; superclass: Organic oxygen compounds; class: Organooxygen compounds; subclass: Alcohols and polyols; level 5: Secondary alcohols","Dexpanthenol","Dexpanthenol","Dexpanthenol",180701,TRUE
"Inosine",269.088596,1.01,1,"RP",NA,NA,"[M+H]","Aq","New3","C10H12N4O5","C10H12N4O5",135398641,"cpd:C00294","Inosine","ChEBI:17596","9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one","UGQMRVRMYYASKQ-KQYNXXCUSA-N","C1=NC2=C(C(=O)N1)N=CN2C3C(C(C(O3)CO)O)O","kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Purine nucleosides; kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Purine nucleosides; kingdom: Organic compounds; superclass: Nucleosides, nucleotides, and analogues; class: Purine nucleosides","Inosine","Inosine","Inosine",180701,FALSE
"Hordenine",166.123189,1.29,1,"RP",NA,NA,"[M+H]","Aq","New3","C10H15NO","C10H15NO",68313,"cpd:C06199","Hordenine; 4-[2-(Dimethylamino)ethyl]phenol","ChEBI:5764","4-[2-(dimethylamino)ethyl]phenol","KUBCEEMXQZUPDQ-UHFFFAOYSA-N","CN(C)CCC1=CC=C(C=C1)O","kingdom: Organic compounds; superclass: Benzenoids; class: Benzene and substituted derivatives; subclass: Phenethylamines; kingdom: Organic compounds; superclass: Benzenoids; class: Benzene and substituted derivatives; subclass: Phenethylamines","Hordenine","Hordenine","Hordenine",180701,FALSE
"Allopurinol",137.046336,1.27,1,"RP",NA,0.25,"[M+H]","Aq","New3","C5H4N4O","C5H4N4O",135401907,NA,NA,NA,"1,5-dihydropyrazolo[3,4-d]pyrimidin-4-one","OFCNXPDARWKPPY-UHFFFAOYSA-N","C1=NNC2=C1C(=O)NC=N2","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Pyrazolopyrimidines; subclass: Pyrazolo[3,4-d]pyrimidines; kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Pyrazolopyrimidines; subclass: Pyrazolo[3,4-d]pyrimidines; kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Pyrazolopyrimidines; subclass: Pyrazolo[3,4-d]pyrimidines","Allopurinol","Allopurinol","Allopurinol",180701,FALSE
"1-Palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine",760.585632,14.1,1,"RP",NA,0.25,"[M+H]","Org","Phospholipid synthesis","C42H82NO8P","C42H82NO8P",5497103,NA,NA,NA,"[(2R)-3-hexadecanoyloxy-2-[(Z)-octadec-9-enoyl]oxypropyl] 2-(trimethylazaniumyl)ethyl phosphate","WTJKGGKOPKCXLL-VYOBOKEXSA-N","CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Glycerophospholipids; subclass: Glycerophosphocholines; level 5: Phosphatidylcholines; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Glycerophospholipids; subclass: Glycerophosphocholines; level 5: Phosphatidylcholines","1-palmitoyl-2-oleoyl-sn-glycero-3-phosphocholine","1,2,3-phosphocholine","POPC",160401,NA
"1-Stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine",744.554331,14.9,1,"RP",NA,0.25,"[M]","Org","Phospholipid synthesis","C41H79NO8P","C41H79NO8P-",23727969,NA,NA,NA,"2-aminoethyl [(2S)-3-octadecanoyloxy-2-[(Z)-octadec-9-enoyl]oxypropyl] phosphate","JQKOHRZNEOQNJE-VYCVAHKRSA-M","CCCCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCCN)OC(=O)CCCCCCCC=CCCCCCCCC","kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Glycerophospholipids; subclass: Glycerophosphoethanolamines; level 5: Phosphatidylethanolamines; kingdom: Organic compounds; superclass: Lipids and lipid-like molecules; class: Glycerophospholipids; subclass: Glycerophosphoethanolamines; level 5: Phosphatidylethanolamines","1-stearoyl-2-oleoyl-sn-glycero-3-phosphoethanolamine","1,2,3-phosphoethanolamine","SOPE",160401,NA
"Indole-3-carboxylic acid",162.055503,5.44,1,"RP",NA,0.25,"[M+H]","Aq","Phytohormone","C9H7NO2","C9H7NO2",69867,"cpd:C19837","Indole-3-carboxylate; Indole-3-carboxylic acid",NA,"1H-indole-3-carboxylic acid","KMAKOBLIOCQGJP-UHFFFAOYSA-N","C1=CC=C2C(=C1)C(=CN2)C(=O)O","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Indoles and derivatives; subclass: Indolecarboxylic acids and derivatives","Indole 3 carboxylic acid","Indole-3-carboxylic acid","Indole 3 carboxylic acid",160401,TRUE
"Indolelactate",206.081719,4.65,1,"RP",NA,0.25,"[M+H]","Aq","Phytohormone","C11H11NO3",NA,NA,"cpd:C02043","Indolelactate","ChEBI:17282","2-hydroxy-3-(1H-indol-3-yl)propanoic acid","XGILAAMKEQUXLS-UHFFFAOYSA-N","C1=CC=C2C(=C1)C(=CN2)CC(C(=O)O)O","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Indoles and derivatives; subclass: Indolyl carboxylic acids and derivatives","Indole 3 Lactic Acid","Indoleactate","Indolelactate",160401,TRUE
"Indole-3-methyl acetate",190.086804,7.31,1,"RP",NA,0.25,"[M+H]","Aq","Phytohormone","C11H11NO2",NA,NA,"cpd:C20635","Methyl (indol-3-yl)acetate",NA,"methyl 2-(1H-indol-3-yl)acetate","KTHADMDGDNYQRX-UHFFFAOYSA-N","COC(=O)CC1=CNC2=CC=CC=C21","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Indoles and derivatives; subclass: Indolyl carboxylic acids and derivatives; level 5: Indole-3-acetic acid derivatives","Indole 3 methyl acetate","Indole-3-methyl acetate","Indole 3 methyl acetate",160401,TRUE
"N6-Dimethylallyladenine",NA,4.18,-1,"RP",NA,0.25,NA,"Aq","Phytohormone","C10H13N5",NA,NA,"cpd:C04083","N6-(Delta2-Isopentenyl)-adenine; N6-(3-Methylbut-2-enyl)adenine; 6-(gamma,gamma-Dimethylallylamino)purine; N6-Dimethylallyladenine","ChEBI:17660","N-(3-methylbut-2-enyl)-7H-purin-6-amine","HYVABZIGRDEKCD-UHFFFAOYSA-N","CC(=CCNC1=NC=NC2=C1NC=N2)C","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Imidazopyrimidines; subclass: Purines and purine derivatives; level 5: 6-aminopurines; level 6: 6-alkylaminopurines","2iP","2iP","Dimethylallyladenine",160401,TRUE
"Indolebutyric acid",204.10191,7.45,1,"RP",NA,0.25,"[M+H]","Aq","Phytohormone","C12H13NO2",NA,NA,"cpd:C11284","Indolebutyric acid; Indole-3-butyric acid; IBA","ChEBI:33070","4-(1H-indol-3-yl)butanoic acid","JTEDVYBZBROSJT-UHFFFAOYSA-N","C1=CC=C2C(=C1)C(=CN2)CCCC(=O)O","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Indoles and derivatives; subclass: Indoles; level 5: 3-alkylindoles","3 Indolebutyric Acid","Indolebutyric acid","Indolebutyric acid",160401,TRUE
"3-Indolepropionic acid",190.08626,6.66,1,"RP",NA,0.25,"[M+H]","Aq","Phytohormone","C11H11NO2","C11H11NO2",3744,NA,NA,NA,"3-(1H-indol-3-yl)propanoic acid","GOLXRNDWAUTYKT-UHFFFAOYSA-N","C1=CC=C2C(=C1)C(=CN2)CCC(=O)O","kingdom: Organic compounds; superclass: Organoheterocyclic compounds; class: Indoles and derivatives; subclass: Indolyl carboxylic acids and derivatives","3 Indolepropionic Acid","3 Indolepropionic acid","Indolepropionic acid",160401,TRUE
